x,y
12647070.8439,2556710.224
12647070.8281,2556710.60411
12647070.8116,2556710.9835
12647070.7896,2556711.36158
12647070.7789,2556711.7496
12647070.7663,2556712.14448
12647070.7499,2556712.53392
12647070.7378,2556712.93171
12647070.7135,2556713.30835
12647070.6948,2556713.68763
12647070.6711,2556714.06889
12647070.6474,2556714.44202
12647070.6474,2556714.44202
12647070.6046,2556715.21659
12647070.538,2556716.3616
12647070.5042,2556717.09084
12647070.4937,2556717.44336
12647070.4803,2556717.79715
12647070.4668,2556718.80402
12647070.4701,2556719.1373
12647070.4795,2556719.45881
12647070.4917,2556719.7834
12647070.5098,2556720.10143
12647070.5098,2556720.10143
12647070.5233,2556720.75626
12647070.5243,2556721.09301
12647070.5228,2556721.78833
12647070.5236,2556722.14559
12647070.5225,2556722.49617
12647070.5228,2556722.85268
12647070.5167,2556723.20356
12647070.5092,2556723.55978
12647070.5003,2556723.92741
12647070.4912,2556724.29002
12647070.4839,2556724.66167
12647070.4729,2556725.03562
12647070.4598,2556725.40034
12647070.4459,2556725.77092
12647070.4291,2556726.14289
12647070.4103,2556726.5155
12647070.3935,2556726.89579
12647070.3743,2556727.27656
12647070.3597,2556727.65348
12647070.3414,2556728.03028
12647070.3234,2556728.39697
12647070.3074,2556728.76194
12647070.2904,2556729.12889
12647070.2784,2556729.48271
12647070.2733,2556729.84196
12647070.2676,2556730.19432
12647070.2611,2556730.54494
12647070.2585,2556730.88394
12647070.249,2556731.22669
12647070.2437,2556731.56419
12647070.2423,2556731.90963
12647070.2387,2556732.24849
12647070.2432,2556732.59299
12647070.2508,2556732.93508
12647070.2565,2556733.25965
12647070.2663,2556733.58248
12647070.2734,2556733.89658
12647070.2856,2556734.19955
12647070.3031,2556734.51251
12647070.3298,2556734.80199
12647070.3563,2556735.10138
12647070.3941,2556735.39293
12647070.3941,2556735.39293
12647070.4654,2556735.95019
12647070.5033,2556736.22591
12647070.5484,2556736.48907
12647070.5946,2556736.75843
12647070.5946,2556736.75843
12647070.7034,2556737.27999
12647070.7654,2556737.5293
12647070.8225,2556737.78566
12647070.8884,2556738.03379
12647070.9489,2556738.28491
12647071.0159,2556738.53655
12647071.0777,2556738.8007
12647071.146,2556739.06468
12647071.146,2556739.06468
12647071.2804,2556739.62416
12647071.3434,2556739.90522
12647071.4091,2556740.19743
12647071.4715,2556740.49648
12647071.5329,2556740.80396
12647071.6014,2556741.11221
12647071.6681,2556741.43796
12647071.7308,2556741.76272
12647071.7955,2556742.09576
12647071.853,2556742.4218
12647071.9099,2556742.76046
12647071.9733,2556743.10372
12647072.0325,2556743.45369
12647072.0933,2556743.8003
12647072.1542,2556744.15984
12647072.2093,2556744.50994
12647072.2667,2556744.87294
12647072.3249,2556745.23469
12647072.381,2556745.60308
12647072.4395,2556745.96881
12647072.4906,2556746.34956
12647072.5462,2556746.71377
12647072.5947,2556747.09336
12647072.6487,2556747.46791
12647072.6944,2556747.85097
12647072.7476,2556748.22591
12647072.8434,2556748.98836
12647072.8868,2556749.36969
12647072.933,2556749.75231
12647073.0239,2556750.52028
12647073.0657,2556750.91199
12647073.1041,2556751.29164
12647073.1394,2556751.67791
12647073.1827,2556752.06948
12647073.2177,2556752.45694
12647073.2585,2556752.83436
12647073.2983,2556753.21787
12647073.3384,2556753.59471
12647073.3777,2556753.96447
12647073.4193,2556754.33015
12647073.4646,2556754.68723
12647073.5578,2556755.39543
12647073.606,2556755.74781
12647073.6592,2556756.08928
12647073.7074,2556756.43408
12647073.7613,2556756.77397
12647073.8152,2556757.11547
12647073.8688,2556757.44918
12647073.9233,2556757.78722
12647073.9797,2556758.11823
12647074.0372,2556758.45436
12647074.0984,2556758.78317
12647074.1591,2556759.11298
12647074.2233,2556759.43806
12647074.2838,2556759.76157
12647074.3505,2556760.08302
12647074.4177,2556760.40555
12647074.4869,2556760.72469
12647074.5564,2556761.04146
12647074.6278,2556761.35724
12647074.6965,2556761.67152
12647074.7681,2556761.9828
12647074.8409,2556762.29578
12647074.9146,2556762.6048
12647074.9943,2556762.9177
12647075.0742,2556763.22554
12647075.1523,2556763.53086
12647075.2335,2556763.83406
12647075.3156,2556764.14196
12647075.3983,2556764.4431
12647075.4854,2556764.74866
12647075.5732,2556765.05191
12647075.6623,2556765.35551
12647075.7532,2556765.65668
12647075.8454,2556765.95461
12647075.9362,2556766.25197
12647076.0254,2556766.54696
12647076.1184,2556766.84356
12647076.2161,2556767.15096
12647076.3139,2556767.45581
12647076.4074,2556767.75573
12647076.505,2556768.06532
12647076.6037,2556768.37669
12647076.7012,2556768.69013
12647076.8001,2556769.00893
12647076.9004,2556769.33435
12647076.9962,2556769.65515
12647077.0936,2556769.98438
12647077.285,2556770.63516
12647077.3852,2556770.96479
12647077.4839,2556771.29799
12647077.583,2556771.63356
12647077.6849,2556771.97254
12647077.7857,2556772.31327
12647077.8855,2556772.65434
12647077.9834,2556772.99153
12647078.0806,2556773.33461
12647078.179,2556773.6846
12647078.2819,2556774.02613
12647078.3789,2556774.37836
12647078.4813,2556774.72771
12647078.5739,2556775.0825
12647078.6726,2556775.43677
12647078.7687,2556775.7952
12647078.8658,2556776.15316
12647078.9617,2556776.5125
12647079.0625,2556776.87273
12647079.1565,2556777.24151
12647079.2564,2556777.61117
12647079.3497,2556777.97453
12647079.4409,2556778.34421
12647079.5291,2556778.71294
12647079.6173,2556779.0824
12647079.71,2556779.45744
12647079.8002,2556779.83342
12647079.8868,2556780.21299
12647079.9757,2556780.5932
12647080.0609,2556780.96086
12647080.1441,2556781.33623
12647080.2284,2556781.71717
12647080.3106,2556782.0974
12647080.3896,2556782.47607
12647080.4698,2556782.85857
12647080.548,2556783.23876
12647080.6243,2556783.62319
12647080.7011,2556784.00611
12647080.7748,2556784.38994
12647080.7748,2556784.38994
12647080.9301,2556785.16463
12647081.0002,2556785.54378
12647081.0715,2556785.93122
12647081.14,2556786.31679
12647081.2054,2556786.70517
12647081.2054,2556786.70517
12647081.3441,2556787.48628
12647081.4114,2556787.87365
12647081.4797,2556788.26693
12647081.5434,2556788.64889
12647081.6051,2556789.03672
12647081.6685,2556789.42528
12647081.7273,2556789.81318
12647081.79,2556790.19711
12647081.8512,2556790.5842
12647081.9148,2556790.96038
12647081.9755,2556791.3405
12647082.0361,2556791.71662
12647082.0958,2556792.09155
12647082.1554,2556792.47026
12647082.214,2556792.8466
12647082.2733,2556793.22258
12647082.3321,2556793.60063
12647082.3939,2556793.97314
12647082.4539,2556794.34767
12647082.5142,2556794.71926
12647082.5748,2556795.09321
12647082.634,2556795.46351
12647082.6911,2556795.83464
12647082.7519,2556796.20494
12647082.8121,2556796.5696
12647082.8728,2556796.94278
12647082.9354,2556797.31436
12647082.9955,2556797.68219
12647083.0541,2556798.0486
12647083.1136,2556798.42256
12647083.1721,2556798.79125
12647083.2278,2556799.15522
12647083.2862,2556799.52273
12647083.344,2556799.895
12647083.3984,2556800.25667
12647083.4548,2556800.62944
12647083.5093,2556800.99475
12647083.5626,2556801.36495
12647083.6167,2556801.73613
12647083.6697,2556802.10748
12647083.7226,2556802.4784
12647083.7762,2556802.84578
12647083.8274,2556803.21174
12647083.8829,2556803.5873
12647083.9341,2556803.95508
12647083.9341,2556803.95508
12647084.0361,2556804.69488
12647084.1382,2556805.43311
12647084.1878,2556805.80221
12647084.2358,2556806.17279
12647084.2842,2556806.5445
12647084.3309,2556806.91577
12647084.4264,2556807.65328
12647084.4752,2556808.02792
12647084.5217,2556808.40049
12647084.571,2556808.77003
12647084.6182,2556809.14117
12647084.6656,2556809.51751
12647084.7127,2556809.8885
12647084.7564,2556810.26159
12647084.7987,2556810.63532
12647084.8441,2556811.0051
12647084.8857,2556811.37783
12647084.9314,2556811.75325
12647084.9755,2556812.12686
12647085.0173,2556812.49692
12647085.0596,2556812.86919
12647085.1021,2556813.24274
12647085.1436,2556813.61437
12647085.1878,2556813.98941
12647085.2294,2556814.36697
12647085.2714,2556814.74482
12647085.3107,2556815.12465
12647085.3484,2556815.49794
12647085.3846,2556815.87358
12647085.4237,2556816.24824
12647085.459,2556816.62181
12647085.4957,2556816.99372
12647085.5325,2556817.36725
12647085.5738,2556817.74929
12647085.6129,2556818.12708
12647085.6531,2556818.491
12647085.6986,2556818.85731
12647085.7352,2556819.2306
12647085.777,2556819.59745
12647085.8156,2556819.97299
12647085.8587,2556820.34416
12647085.8995,2556820.71793
12647085.9441,2556821.08897
12647085.983,2556821.45328
12647086.0234,2556821.81752
12647086.0648,2556822.18564
12647086.1079,2556822.55207
12647086.1479,2556822.91486
12647086.1946,2556823.27826
12647086.239,2556823.64036
12647086.2873,2556824.00336
12647086.3308,2556824.36849
12647086.3785,2556824.72956
12647086.4252,2556825.08349
12647086.4721,2556825.43894
12647086.5174,2556825.79825
12647086.5643,2556826.15337
12647086.6096,2556826.51261
12647086.6573,2556826.86955
12647086.7049,2556827.22302
12647086.7555,2556827.57382
12647086.806,2556827.93066
12647086.8589,2556828.28052
12647086.91,2556828.63569
12647086.9627,2556828.98655
12647087.0134,2556829.33611
12647087.0657,2556829.6844
12647087.1164,2556830.03805
12647087.1688,2556830.38506
12647087.1688,2556830.38506
12647087.2787,2556831.0873
12647087.3337,2556831.43706
12647087.4452,2556832.13806
12647087.4989,2556832.48543
12647087.5555,2556832.83512
12647087.6689,2556833.53803
12647087.7299,2556833.88871
12647087.7848,2556834.23943
12647087.8444,2556834.58754
12647087.9044,2556834.93942
12647087.9626,2556835.28818
12647088.0231,2556835.63884
12647088.0824,2556835.98982
12647088.2059,2556836.68458
12647088.2657,2556837.03522
12647088.3268,2556837.38273
12647088.3876,2556837.73317
12647088.4495,2556838.08519
12647088.5139,2556838.43597
12647088.5139,2556838.43597
12647088.6459,2556839.13855
12647088.713,2556839.49188
12647088.713,2556839.49188
12647088.8505,2556840.19364
12647088.9181,2556840.54601
12647088.9908,2556840.9004
12647089.0613,2556841.24681
12647089.2025,2556841.94855
12647089.2775,2556842.30076
12647089.3481,2556842.6518
12647089.4229,2556843.00504
12647089.4949,2556843.35651
12647089.571,2556843.71022
12647089.6413,2556844.05953
12647089.7976,2556844.76312
12647089.9484,2556845.47086
12647090.0273,2556845.82561
12647090.1037,2556846.1723
12647090.1811,2556846.51985
12647090.3427,2556847.22123
12647090.4241,2556847.57681
12647090.5101,2556847.93377
12647090.5906,2556848.28339
12647090.6751,2556848.63659
12647090.7557,2556848.9817
12647090.8361,2556849.33023
12647090.9206,2556849.6828
12647091.0043,2556850.0342
12647091.089,2556850.38327
12647091.1781,2556850.73572
12647091.2681,2556851.08319
12647091.4469,2556851.78301
12647091.5368,2556852.13206
12647091.6267,2556852.4775
12647091.7169,2556852.82578
12647091.8081,2556853.17222
12647091.9012,2556853.51977
12647091.9942,2556853.86686
12647092.0903,2556854.21407
